"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS010652","Douglas","Ojanen, Joanne M.","",""
"SUWS010653","Bayfield","Brost, Mike","",""
"SUWS010656","Douglas","Castle, R.","",""
"SUWS010657","Douglas","Hein, Elizabeth","",""
"SUWS010658","Douglas","Martin, Bonita","",""
"SUWS010659","Douglas","Heim, John A.","",""
"SUWS010660","Douglas","Castle, R.","",""
"SUWS010663","Douglas","Castle, R.","",""
"SUWS010667","Douglas","Castle, R.","",""
"SUWS010668","Douglas","Hansen, Perky","",""
"SUWS010669","Douglas","Mendenhall, Paula M.","",""
"SUWS010670","Vilas","McGovern, Scott","",""
"SUWS010671","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS010672","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS010673","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS010674","Douglas","Smetak, Scott","",""
"SUWS010676","Douglas","Martin, Bonita","",""
"SUWS010677","Douglas","Ojanen, Joanne M.","",""
"SUWS010682","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS010683","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS010684","Douglas","Anderson, Jason","",""
"SUWS010685","Douglas","Smetak, Scott","",""
"SUWS010686","Douglas","Brost, Mike","",""
"SUWS010688","Douglas","Gitar, Richard D.","",""
"SUWS010689","Douglas","Ojanen, Joanne M.","",""
"SUWS010690","Douglas","Castle, R.","",""
"SUWS010691","Douglas","Ojanen, Joanne M.","",""
"SUWS010692","Douglas","Castle, R.","",""
"SUWS010695","Bayfield","Heim, John A.","",""
"SUWS010705","Douglas","Bolender"," Jones, Brashier",""
"SUWS010706","Douglas","Bolender"," Jones, Brashier",""
"SUWS010707","Douglas","Koch, Rudy G.","",""
"SUWS010708","Douglas","Brashier"," Romans",""
"SUWS010709","Douglas","Brashier"," Romans",""
"SUWS010710","Douglas","Thomson, John W., Jr.","",""
"SUWS010714","Douglas","Brashier"," Romans",""
"SUWS010715","Douglas","Brashier"," Romans",""
"SUWS010717","Douglas","Koch, Rudy G.","",""
"SUWS010719","Douglas","Brashier"," Romans",""
"SUWS010720","Bayfield","Brashier"," Gunderson",""
"SUWS010721","Bayfield","Brashier"," Janowski",""
"SUWS010722","Bayfield","Koch, Rudy G.","",""
"SUWS010723","Bayfield","Brashier"," Thoren",""
"SUWS010724","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010725","Bayfield","Barnard"," Brashier",""
"SUWS010725b","Bayfield","Lahti, Duane","",""
"SUWS010726","Burnett","Brashier"," Romans",""
"SUWS010728","Bayfield","Koch, Rudy G.","",""
"SUWS010728b","Douglas","Dennery, Ed","",""
"SUWS010730","Douglas","Koch, Rudy G.","",""
"SUWS010731","Douglas","Castle, R.","",""
"SUWS010732","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010733","Douglas","Thomson, John W., Jr.","",""
"SUWS010734","Racine","Leitner, Lawrence A.","",""
"SUWS010735","Douglas","Koch, Rudy G.","",""
"SUWS010736","Douglas","Castle, R.","",""
"SUWS010737","Douglas","Brashier"," Romans",""
"SUWS010739","Douglas","Koch, Rudy G.","",""
"SUWS010740","Douglas","Brashier"," Romans",""
"SUWS010741","Bayfield","Brost, Mike","",""
"SUWS010742","Ashland","Clements, Jimmy D.","",""
"SUWS010743","Racine","Leitner, Lawrence A.","",""
"SUWS010744","Douglas","Brashier"," Romans",""
"SUWS010745","Douglas","Thomson, John W., Jr.","",""
"SUWS010746","Douglas","Thomson, John W., Jr.","",""
"SUWS010747","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010748","Douglas","Thomson, John W., Jr.","",""
"SUWS010749","Bayfield","Brashier"," Thoren",""
"SUWS010751","Bayfield","Brashier"," Cherf",""
"SUWS010752","Polk","Brashier"," Romans",""
"SUWS010753","Douglas","C., E. A.","",""
"SUWS010754","Bayfield","Cornell"," Brashier",""
"SUWS010755","Bayfield","Raatz"," Brashier",""
"SUWS010756","Bayfield","Hjerleid"," Brashier",""
"SUWS010757","Bayfield","Barnard"," Brashier",""
"SUWS010758","Bayfield","Collins"," Brashier",""
"SUWS010759","Bayfield","Holden"," Brashier",""
"SUWS010760","Bayfield","Muller"," Brashier",""
