OID,catalogNumber,N_latitude,W_longitude,N_latitude_D,W_longitude_D,DDLat,DDLon,TWP,RNG,DIR_ALPHA
359,SUWS011316,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
360,SUWS011317,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
361,SUWS011319,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
362,SUWS011323,46.586040 N, 91.720740 W,46.58604,-91.72074,46.58604,-91.72074,47,11,W
363,SUWS011324,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
364,SUWS011325,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
365,SUWS011328,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
366,SUWS011332,46.336890 N, 91.257970 W,46.33689,-91.25797,46.33689,-91.25797,45,7,W
367,SUWS011333,46.336890 N, 91.257970 W,46.33689,-91.25797,46.33689,-91.25797,45,7,W
368,SUWS011335,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
369,SUWS011336,46.367450 N, 91.108250 W,46.36745,-91.10825,46.36745,-91.10825,45,6,W
370,SUWS011337,46.717840 N, 92.087860 W,46.71784,-92.08786,46.71784,-92.08786,49,14,W
371,SUWS011342,46.724590 N, 92.091960 W,46.72459,-92.09196,46.72459,-92.09196,49,14,W
372,SUWS011349,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
373,SUWS011351,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
374,SUWS011352,46.676820 N, 91.678960 W,46.67682,-91.67896,46.67682,-91.67896,49,11,W
375,SUWS011361,46.712310 N, 92.091360 W,46.71231,-92.09136,46.71231,-92.09136,49,14,W
376,SUWS011363,46.449670 N, 90.186560 W,46.44967,-90.18656,46.44967,-90.18656,46,2,E
