OBJECTID,TWP,RNG,DIR_ALPHA,Shape_Length,Shape_Area
1130,32,16,E,54764.76759,-187641760.6
1131,32,16,W,54678.83892,-186378955
1132,32,17,E,55014.80212,-188443325
1133,32,17,W,54568.39475,-186662591.5
1134,32,18,E,54758.8843,-189385905.7
1135,32,18,W,54235.98692,-183405558.3
1136,32,19,E,54581.86933,-185912993.2
1137,32,19,W,54321.10989,-184380285.2
1138,32,20,E,53749.63941,-179944989.4
1139,32,21,E,54136.18699,-183428824.7
1140,32,22,E,52396.69674,-149519479.2
1141,32,25,E,8870.848124,-4906797.03
1142,32,26,E,46446.97231,-96409492.81
1143,32,27,E,46554.18172,-131125440.9
1144,32,28,E,55674.18227,-167637013.3
1145,32,29,E,54981.22485,-119879654.1
1146,33,1,E,58733.98924,-215848277.8
1147,33,1,W,54934.22742,-188603432.3
1148,33,2,E,54906.6852,-187496948.6
1149,33,2,W,54830.74628,-187530634.2
1150,33,3,E,54961.41308,-188854559.3
1151,33,3,W,54836.43805,-188210434.2
1152,33,4,E,55377.15715,-192025206.3
1153,33,4,W,54824.82171,-187915836.7
1154,33,5,E,54953.47323,-188973217.9
1155,33,5,W,55161.12672,-190726482.4
1156,33,6,E,55137.28312,-189484048.9
1157,33,6,W,55195.60048,-189692009.4
1158,33,7,E,55050.26326,-189164100.6
1159,33,7,W,54795.41065,-186485029.2
1160,33,8,E,55116.18775,-190306000
1161,33,8,W,54398.42263,-185247433.3
1162,33,9,E,55261.97529,-190706090.9
1163,33,9,W,54641.3258,-187842608.1
1164,33,10,E,55178.01163,-192279403
1165,33,10,W,54853.78005,-188298870.3
1166,33,11,E,56216.2397,-195524400.6
1167,33,11,W,54646.35093,-187176226.9
1168,33,12,E,55160.34602,-189847204.7
1169,33,12,W,54501.77455,-185978978.6
1170,33,13,E,55127.20545,-189558983.3
1171,33,13,W,54424.77597,-185244638
1172,33,14,E,55232.88549,-190008899.5
1173,33,14,W,54605.45493,-186703605.1
1174,33,15,E,55174.19125,-189959666.2
1175,33,15,W,55836.24292,-194283716.5
1176,33,16,E,55472.94317,-192786339.7
1177,33,16,W,54440.88055,-185464234.9
1178,33,17,E,54881.35827,-186685593.8
1179,33,17,W,54353.89827,-183965322.5
1180,33,18,E,54890.16641,-187402546.9
1181,33,18,W,54704.81549,-186818954.6
1182,33,19,E,55248.61924,-190319578.4
1183,33,19,W,49830.77995,-103785026
1184,33,20,E,54875.42761,-188519436.7
1185,33,21,E,63381.38606,-170302604.6
1186,33,22,E,54148.32038,-167871747.8
1187,33,23,E,32202.25583,-40445576.27
1188,33,28,E,13960.32637,-10690244.61
1189,33,29,E,54424.3723,-107750408.8
1190,33,30,E,46104.5995,-80032839.05
1191,34,1,E,58636.60948,-213836298.4
1192,34,1,W,55003.55991,-189175998.5
1193,34,2,E,54861.64384,-187518598.3
1194,34,2,W,54877.34735,-188081513.7
1195,34,3,E,54914.51825,-186663524.2
